#prot1 prot2 sim-domain sim-global
A0A2K6GTL0 A0A341BUD1 0.8838823529411765 0.8049411764705883
A0A2K6GTL0 A0A4U1FLV8 0.8765294117647059 0.7430588235294118
A0A2K6GTL0 A0A6S7HWI1 0.8162941176470588 0.587
A0A2K6GTL0 A0A7J5Z3V9 0.8193529411764706 0.7262941176470588
A0A2K6GTL0 G1RDJ1 0.9044117647058824 0.8863529411764706
A0A2K6GTL0 L9L140 0.8282941176470588 0.3865294117647059
A0A2K6GTL0 V8N949 0.8716470588235294 0.8716470588235294
A0A2K6GTL0 A0A124BZ38 0.6606470588235294 0.27970588235294114
A0A2K6GTL0 A0A135LAS7 0.7921764705882353 0.3324705882352941
A0A2K6GTL0 A0A6V8HGV9 0.7226470588235294 0.27064705882352946
A0A2K6GTL0 A0A8H4HR95 0.7302352941176471 0.27041176470588235
A0A2K6GTL0 A0A8H4MQG6 0.7285882352941176 0.2705882352941177
A0A2K6GTL0 A0A8H6QBR5 0.7265294117647059 0.271235294117647
A0A2K6GTL0 A0A8H6V6W2 0.7265882352941176 0.26135294117647057
A0A2K6GTL0 A0A5N3UXN3 0.7314117647058824 0.5642941176470588
A0A2K6GTL0 A0A5N3XUP3 0.7443529411764707 0.5652941176470588
A0A2K6GTL0 A0A6A5L782 0.6687058823529411 0.6687058823529411
A0A2K6GTL0 A0A8B9X892 0.7325294117647059 0.5589999999999999
A0A2K6GTL0 A0A8B9XAL2 0.8555882352941176 0.6054705882352941
A0A2K6GTL0 W5PG41 0.8724705882352941 0.577764705882353
A0A2K6GTL0 A0A0P1ABU9 0.6584117647058824 0.34735294117647064
A0A2K6GTL0 A0A3F2RIR8 0.6351764705882352 0.3479411764705882
A0A2K6GTL0 A0A3M6VVN6 0.718 0.32399999999999995
A0A2K6GTL0 A0A3R7ILN0 0.635764705882353 0.3073529411764706
A0A2K6GTL0 A0A421FQ00 0.6354117647058823 0.3401176470588235
A0A2K6GTL0 A0A8J4SC83 0.635764705882353 0.3073529411764706
